"uf","nome_uf","nome_municipio","codigo_municipio_completo","unidade_pf","unidade_crim","sigla_crim","unid_endereco","unid_CEP","Ycoord","Xcoord","icon"
"35","São Paulo","Sorocaba","3552205","Delegacia de Sorocaba","Unidade Técnico-Científica","UTEC/PF/SOD/SP","Rodovia Raposo Tavares, km 103,5 - Jardim Itanguá","18052-775 ","-23.535732","-47.497753","large_green"
"35","São Paulo","Campinas","3509502","Delegacia de Campinas","Núcleo Técnico-Científico","NUTEC/PF/CAS/SP","Rua Dr. Antônio Álvares Lobo, 620, Botafogo","13020-110","-22.897785","-47.067759","large_purple"
"35","São Paulo","Santos","3548500","Delegacia de Santos","Núcleo Técnico-Científico","NUTEC/PF/STS/SP","Rua Riachelo, 27. Centro","11.010-021","-23.932947","-46.329067","large_purple"
"41","Paraná","Curitiba","4106902","Superintendência Regional no Paraná","Setor Técnico-Científico","SETEC/SR/PF/PR","Rua Professora Sandália Monzon, 210 – Santa Cândida","82640-040","-25.376720","-49.227758","large_blue"
"41","Paraná","Guaíra","4108809","Delegacia de Guaíra","Unidade Técnico-Científica","UTEC/PF/GRA/PR","Praça Castelo Branco, nº 200, Centro","85980-000","-24.083415","-54.243684","large_green"
"41","Paraná","Londrina","4113700","Delegacia de Londrina","Unidade Técnico-Científica","UTEC/PF/LDA/PR","Rua Tietê nº 1450, Bairro Vila Nova","86025-230","-23.295144","-51.168268","large_green"
"41","Paraná","Foz do Iguaçu","4108304","Delegacia de Foz do Iguaçu","Núcleo Técnico-Científico","NUTEC/PF/FIG/PR","Av. Paraná, 3471 – Jd. Pólo Centro","85863-720","-25.516513","-54.574381","large_purple"
"42","Santa Catarina","Florianópolis","4205407","Superintendência Regional em Santa Catarina","Setor Técnico-Científico","SETEC/SR/PF/SC","Rua Paschoal Apóstolo Pítsica, 4744, Agronômica","88025-255","-27.572696","-48.531670","large_blue"
"43","Rio Grande do Sul","Porto Alegre","4314902","Superintendência Regional no Rio Grande do Sul","Setor Técnico-Científico","UTEC/PF/","Av. Ipiranga 1365 - Bairro Azenha","90160-093","-30.048043","-51.215048","large_blue"
"43","Rio Grande do Sul","Passo Fundo","4314100","Delegacia de Passo Fundo","Unidade Técnico-Científica","UTEC/PF/PFO/RS","Av. Sete de Setembro, nº 10 - Bairro Centro","99010-120","-28.256869","-52.417961","large_green"
"43","Rio Grande do Sul","Pelotas","4314407","Delegacia de Pelotas","Unidade Técnico-Científica","UTEC/PF/PTS/RS","Avenida Duque de Caxias nº 1.049. Bairro Fragata","96030-003","-31.756071","-52.387056","large_green"
"43","Rio Grande do Sul","Santa Maria","4316907","Delegacia de Santa Maria","Unidade Técnico-Científica","UTEC/PF/SMA/RS","R. Vale Machado, 1361 - Centro","97010-530","-29.682314","-53.809639","large_green"
"50","Mato Grosso do Sul","Campo Grande","5002704","Superintendência Regional em Mato Grosso do Sul","Setor Técnico-Científico","SETEC/SR/PF/MS","R. Fernando Luiz Fernandes, 322 - Vila Sobrinho","79110-503","-20.453945","-54.643795","large_blue"
"50","Mato Grosso do Sul","Dourados","5003702","Delegacia de Dourados","Unidade Técnico-Científica","UTEC/PF/DRS/MS","Rua Aziz Rasselen, 360 - Vila Popular","79822-059","-22.226106","-54.830221","large_green"
"51","Mato Grosso","Cuiabá","5103403","Superintendência Regional em Mato Grosso","Setor Técnico-Científico","SETEC/SR/PF/MT","Av. Historiador Rubens de Mendonça, n.1205, Araés","78008-902","-15.588747","-56.084313","large_blue"
"51","Mato Grosso","Rondonópolis","5107602","Delegacia de Rondonópolis","Unidade Técnico-Científica","UTEC/PF/ROO/MT","Rua Sete de Setembro, 558, Bairro: Vila Birigui","78705-010","-16.462018","-54.643744","large_green"
"51","Mato Grosso","Sinop","5107909","Delegacia de Sinop","Unidade Técnico-Científica","UTEC/PF/SIC/MT","Av. das Figueiras, 1115, Centro","78550-000","-11.853260","-55.504593","large_green"
"52","Goiás","Goiânia","5208707","Superintendência Regional em Goiás","Setor Técnico-Científico","SETEC/SR/PF/GO","Av. Edmundo Pinheiro de Abreu, nº 826 - Setor Bela Vista","74823-030","-16.709871","-49.260913","large_blue"
"53","Distrito Federal","Brasília","5300108","Superintendência Regional do Distrito Federal","Setor Técnico-Científico","SETEC/SR/PF/DF","SAIS Quadra 7 - Lote 23 - Setor Policial Sul Brasília","70610-902","-15.827939","-47.931696","large_blue"
